,Gene Feature Name,Gene Common Name,MSN2 Number of Hits,MSN2 Total Sum of Scores,ROX1 Number of Hits,ROX1 Total Sum of Scores,Gene Description
S000004270,YLR280C,,2,15.455531597137451,1,12.714245796203613,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000004271,YLR281C,,2,14.548641681671143,1,12.714245796203613,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YLR281C is not an essential gene
S000004272,YLR282C,,1,8.3706436157226562,1,8.906890869140625,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; deletion mutation confers an increase in Ty1 transposition"
S000001751,YKR043C,SHB17,1,9.2775335311889648,1,13.199672698974609,"Sedoheptulose bisphosphatase involved in riboneogenesis; dephosphorylates sedoheptulose 1,7-bisphosphate, which is converted via the nonoxidative pentose phosphate pathway to ribose-5-phosphate; facilitates the conversion of glycolytic intermediates to pentose phosphate units; also has fructose 1,6-bisphosphatase activity but this is probably not biologically relevant, since deletion does not affect FBP levels; GFP-fusion protein localizes to the cytoplasm and nucleus"
S000001752,YKR044W,UIP5,1,8.3706436157226562,1,13.199672698974609,Protein of unknown function that interacts with Ulp1p; a Ubl (ubiquitin-like protein)-specific protease for Smt3p protein conjugates
S000004501,YML037C,,5,38.37481689453125,1,14.036173820495605,Putative protein of unknown function; has some characteristics of a transcriptional activator; may be a target of Dbf2p-Mob1p kinase; GFP-fusion protein co-localizes with clathrin-coated vesicles; YML037C is not an essential gene
S000001755,YKR047W,,2,17.648177146911621,1,10.228818893432617,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene NAP1"
S000004505,YML041C,VPS71,1,9.2775335311889648,1,12.199672698974609,Nucleosome-binding component of the SWR1 complex; SWR1 exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for vacuolar protein sorting
S000004054,YLR064W,PER33,1,9.2775335311889648,2,24.913918495178223,"Protein that localizes to the endoplasmic reticulum; also associates with the nuclear pore complex; deletion extends chronological lifespan; highly conserved across species, orthologous to human TMEM33 and paralogous to Pom33p; protein abundance increases in response to DNA replication stress"
S000004870,YMR257C,PET111,5,41.474352359771729,2,21.007027626037598,Mitochondrial translational activator specific for the COX2 mRNA; located in the mitochondrial inner membrane
S000004877,YMR264W,CUE1,2,15.455531597137451,1,7.5849623680114746,"Ubiquitin-binding protein; endoplasmic reticulum membrane protein that recruits the ubiquitin-conjugating enzyme Ubc7p to the ER where it functions in protein degradation; contains a CUE domain that binds ubiquitin to facilitate intramolecular monoubiquitination; CUE1 has a paralog, CUE4, that arose from the whole genome duplication"
S000004875,YMR262W,,3,27.832600593566895,1,7.5849623680114746,Protein of unknown function; interacts weakly with Knr4p; YMR262W is not an essential gene
S000005457,YOL097C,WRS1,1,9.2775335311889648,1,11.12928295135498,Cytoplasmic tryptophanyl-tRNA synthetase; aminoacylates tryptophanyl-tRNA; human homolog WARS can complement yeast null mutant
S000005456,YOL096C,COQ3,3,20.726639747619629,1,14.199672698974609,O-methyltransferase; catalyzes two different O-methylation steps in ubiquinone (Coenzyme Q) biosynthesis; component of a mitochondrial ubiquinone-synthesizing complex; phosphoprotein
S000003880,YJR119C,JHD2,7,56.022994041442871,1,6.0,JmjC domain family histone demethylase; promotes global demethylation of H3K4 and repression of noncoding intergenic transcription during sporulation; removes methyl groups added by Set1p methyltransferase; negatively regulated by H3K14 acetylation; protein levels regulated by Not4p polyubiquitin-mediated degradation; regulates sporulation timing by extending period of active transcription in opposition to programmed global transcriptional quiescence; regulates rDNA silencing
S000003881,YJR120W,,2,14.548641681671143,1,6.0,"Protein of unknown function; essential for growth under anaerobic conditions; mutation causes decreased expression of ATP2, impaired respiration, defective sterol uptake, and altered levels/localization of ABC transporters Aus1p and Pdr11p"
S000003887,YJR126C,VPS70,1,9.2775335311889648,2,23.065920829772949,Protein of unknown function involved in vacuolar protein sorting; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum
S000005451,YOL091W,SPO21,1,9.2775335311889648,2,16.936637878417969,"Component of the meiotic outer plaque of the spindle pole body; involved in modifying the meiotic outer plaque that is required prior to prospore membrane formation; SPO21 has a paralog, YSW1, that arose from the whole genome duplication"
S000004478,YML016C,PPZ1,1,9.2775335311889648,1,13.036173820495605,"Serine/threonine protein phosphatase Z, isoform of Ppz2p; involved in regulation of potassium transport, which affects osmotic stability, cell cycle progression, and halotolerance"
S000001119,YHR077C,NMD2,2,17.648177146911621,1,12.936637878417969,Protein involved in the nonsense-mediated mRNA decay (NMD) pathway; interacts with Nam7p and Upf3p; involved in telomere maintenance
S000001116,YHR074W,QNS1,4,34.389464378356934,1,14.784634590148926,Glutamine-dependent NAD(+) synthetase; essential for the formation of NAD(+) from nicotinic acid adenine dinucleotide
S000001117,YHR075C,PPE1,2,17.648177146911621,1,16.106563568115234,Protein with carboxyl methyl esterase activity; may have a role in demethylation of the phosphoprotein phosphatase catalytic subunit; also identified as a small subunit mitochondrial ribosomal protein
S000001111,YHR069C,RRP4,2,12.355996131896973,1,12.714245796203613,Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; predicted to contain RNA binding domains; has similarity to human hRrp4p (EXOSC2)
S000002139,YAL056C-A,,3,24.733065128326416,1,10.12928295135498,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000001332,YIL070C,MAM33,1,6.1779980659484863,2,30.043201446533203,Specific translational activator for the mitochondrial COX1 mRNA; acidic protein of the mitochondrial matrix; related to the human complement receptor gC1q-R
S000001623,YKL140W,TGL1,1,9.2775335311889648,3,26.106563091278076,"Steryl ester hydrolase; one of three gene products (Yeh1p, Yeh2p, Tgl1p) responsible for steryl ester hydrolase activity and involved in sterol homeostasis; localized to lipid particle membranes"
S000001339,YIL077C,,1,6.1779980659484863,1,7.8073549270629883,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; deletion confers sensitivity to 4-(N-(S-glutathionylacetyl)amino) phenylarsenoxide (GSAO)"
S000005552,YOR026W,BUB3,6,52.944531440734863,1,8.3923177719116211,"Kinetochore checkpoint WD40 repeat protein; localizes to kinetochores during prophase and metaphase, delays anaphase in the presence of unattached kinetochores; forms complexes with Mad1p-Bub1p and with Cdc20p, binds Mad2p and Mad3p; functions at kinetochore to activate APC/C-Cdc20p for normal mitotic progression"
S000004982,YNL037C,IDH1,5,39.281706809997559,2,21.843528747558594,Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle
S000004983,YNL038W,GPI15,2,17.648177146911621,1,14.29920768737793,Protein involved in the synthesis of GlcNAc-PI; GlcNAc-PI is the first intermediate in the synthesis of glycosylphosphatidylinositol (GPI) anchors; homologous to the human PIG-H protein; GlcNAc-PI stands for N-acetylglucosaminyl phosphatidylinositol
S000005553,YOR027W,STI1,3,22.919285297393799,2,24.650883674621582,"Hsp90 cochaperone; regulates spatial organization of amyloid-like proteins in the cytosol, thereby buffering the proteotoxicity caused by amyloid-like proteins; interacts with the Ssa group of the cytosolic Hsp70 chaperones and activates Ssa1p ATPase activity; interacts with Hsp90 chaperones and inhibits their ATPase activity; homolog of mammalian Hop"
S000004988,YNL043C,,2,15.455531597137451,1,12.936637878417969,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YIP3/YNL044W"
S000004693,YMR087W,,2,18.55506706237793,1,11.936637878417969,Putative ADP-ribose-1''-monophosphatase; converts ADP-ribose-1''-monophosphate to ADP-ribose; may have a role in tRNA splicing; contains an A1pp domain
S000004691,YMR086C-A,,5,39.281706809997559,1,17.106563568115234,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000005053,YNL109W,,2,16.741287231445312,1,6.8073549270629883,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized ORF YNL108C"
S000005052,YNL108C,,1,9.2775335311889648,1,10.12928295135498,"Protein phosphatase; similar to prokaryotic phosphotransfer enzymes; null mutant shows alterations in glucose metabolism; GFP-fusion protein localizes to the cytoplasm and nucleus; YNL108C has a paralog, TFC7, that arose from the whole genome duplication"
S000005057,YNL113W,RPC19,1,9.2775335311889648,1,8.8073549270629883,RNA polymerase subunit AC19; common to RNA polymerases I and III
S000028625,YER175W-A,,1,6.1779980659484863,1,9.906890869140625,"Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching"
S000005122,YNL178W,RPS3,1,9.2775335311889648,2,25.176952362060547,Protein component of the small (40S) ribosomal subunit; has apurinic/apyrimidinic (AP) endonuclease activity; essential for viability; nascent Rps3p is bound by specific chaperone Yar1p during translation; homologous to mammalian ribosomal protein S3 and bacterial S3
S000006237,YPR033C,HTS1,5,42.76010799407959,1,11.714245796203613,Cytoplasmic and mitochondrial histidine tRNA synthetase; efficient mitochondrial localization requires both a presequence and an amino-terminal sequence; mutations in human ortholog HARS2 are associated with Perrault syndrome
S000002593,YDR185C,UPS3,1,9.2775335311889648,1,15.521600723266602,"Mitochondrial protein of unknown function; similar to Ups1p and Ups2p which are involved in regulation of mitochondrial cardiolipin and phosphatidylethanolamine levels; null is viable but interacts synthetically with ups1 and ups2 mutations; UPS3 has a paralog, UPS2, that arose from the whole genome duplication"
S000002591,YDR183W,PLP1,1,6.1779980659484863,1,10.714245796203613,"Protein that interacts with CCT (chaperonin containing TCP-1) complex; has a role in actin and tubulin folding; has weak similarity to phosducins, which are G-protein regulators"
S000005904,YOR377W,ATF1,1,9.2775335311889648,1,14.784634590148926,Alcohol acetyltransferase; responsible for the major part of volatile acetate ester production during fermentation; main enzyme involved in terpenyl acetate synthesis; potential roles in lipid and sterol metabolism
S000002594,YDR186C,,2,15.455531597137451,2,28.498880386352539,"Protein of unknown function; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm"
S000001242,YHR199C,AIM46,2,17.648177146911621,1,10.12928295135498,"Protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss"
S000001243,YHR200W,RPN10,4,34.389464378356934,2,21.580493927001953,Non-ATPase base subunit of the 19S RP of the 26S proteasome; N-terminus plays a role in maintaining the structural integrity of the regulatory particle (RP); binds selectively to polyubiquitin chains; homolog of the mammalian S5a protein
S000002599,YDR191W,HST4,2,18.55506706237793,1,8.3923177719116211,"NAD(+)-dependent protein deacetylase; deacetylation targets are primarily mitochondrial proteins; involved along with Hst3p in silencing at telomeres, cell cycle progression, radiation resistance, genomic stability and short-chain fatty acid metabolism; accumulates in mitochondria in response to biotin starvation and may link biotin metabolism with energy homeostasis; member of the Sir2 family and may be the functional equivalent of human SIRT3"
S000028538,YDR169C-A,,3,27.832600593566895,1,12.936637878417969,Putative protein of unknown function; identified by fungal homology and RT-PCR
S000005635,YOR109W,INP53,1,6.1779980659484863,1,13.199672698974609,"Polyphosphatidylinositol phosphatase; dephosphorylates multiple phosphatidylinositol phosphates; involved in trans Golgi network-to-early endosome pathway; hyperosmotic stress causes translocation to actin patches; contains Sac1 and 5-ptase domains; INP53 has a paralog, INP52, that arose from the whole genome duplication"
S000005632,YOR106W,VAM3,3,26.925710678100586,1,13.714245796203613,Syntaxin-like vacuolar t-SNARE; functions with Vam7p in vacuolar protein trafficking; mediates docking/fusion of late transport intermediates with the vacuole; has an acidic di-leucine sorting signal and C-terminal transmembrane region
S000005631,YOR105W,,6,50.751885890960693,1,13.714245796203613,Protein of unknown function; expressed at both mRNA and protein levels
S000006580,TG(GCC)F2,,1,6.1779980659484863,2,23.591989517211914,"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis"
S000005897,YOR370C,MRS6,4,26.904637813568115,1,14.29920768737793,Rab escort protein; forms a complex with the Ras-like small GTPase Ypt1p that is required for the prenylation of Ypt1p by protein geranylgeranyltransferase type II (Bet2p-Bet4p); sequence similarity to mammalian choroideraemia gene; relative distribution to the nucleus increases upon DNA replication stress
S000003062,YGL094C,PAN2,3,20.726639747619629,1,15.199672698974609,Catalytic subunit of the Pan2p-Pan3p poly(A)-ribonuclease complex; complex acts to control poly(A) tail length and regulate the stoichiometry and activity of postreplication repair complexes
S000003064,YGL096W,TOS8,5,43.288132190704346,4,45.821409225463867,"Homeodomain-containing protein and putative transcription factor; found associated with chromatin; target of SBF transcription factor; induced during meiosis and under cell-damaging conditions; TOS8 has a paralog, CUP9, that arose from the whole genome duplication"
S000006586,TG(GCC)O1,,2,15.455531597137451,1,12.936637878417969,"Glycine tRNA (tRNA-Gly), predicted by tRNAscan-SE analysis"
S000001579,YKL096W,CWP1,3,27.832600593566895,1,10.614709854125977,"Cell wall mannoprotein that localizes to birth scars of daughter cells; linked to a beta-1,3- and beta-1,6-glucan heteropolymer through a phosphodiester bond; required for propionic acid resistance"
S000003069,YGL101W,,1,6.1779980659484863,1,11.392317771911621,"Protein of unknown function; non-essential gene; interacts with the DNA helicase Hpr5p; YGL101W has a paralog, YBR242W, that arose from the whole genome duplication"
S000003263,YGR031W,IMO32,3,20.726639747619629,2,26.136310577392578,Conserved mitochondrial protein of unknown function; processed by both mitochondrial processing peptidase and mitochondrial octapeptidyl aminopeptidase; gene contains the nested antisense gene NAG1
S000003260,YGR028W,MSP1,2,12.355996131896973,1,12.199672698974609,"Highly-conserved N-terminally anchored AAA-ATPase; distributed in the mitochondrial outer membrane and peroxisomes; involved in mitochondrial protein sorting; functions as an extraction engine in local organelle surveillance to remove and initiate degradation of mistargeted proteins, ensuring fidelity of organelle-specific localization of tail-anchored proteins; contains an N-terminal transmembrane domain and C-terminal cytoplasmic ATPase domain"
S000003264,YGR032W,GSC2,1,6.1779980659484863,1,15.621135711669922,"Catalytic subunit of 1,3-beta-glucan synthase; involved in formation of the inner layer of the spore wall; activity positively regulated by Rho1p and negatively by Smk1p; GSC2 has a paralog, FKS1, that arose from the whole genome duplication"
S000005743,YOR217W,RFC1,2,18.55506706237793,2,24.913918495178223,Subunit of heteropentameric Replication factor C (RF-C); RF-C is a DNA binding protein and ATPase that acts as a clamp loader of the proliferating cell nuclear antigen (PCNA) processivity factor for DNA polymerases delta and epsilon
S000005835,YOR308C,SNU66,1,9.2775335311889648,1,8.3923177719116211,Component of the U4/U6.U5 snRNP complex; involved in pre-mRNA splicing via spliceosome; also required for pre-5S rRNA processing and may act in concert with Rnh70p; has homology to human SART-1
S000001808,YKR100C,SKG1,2,14.548641681671143,1,9.3923177719116211,"Transmembrane protein with a role in cell wall polymer composition; localizes on inner surface of plasma membrane at bud and in daughter cell; SKG1 has a paralog, AIM20, that arose from the whole genome duplication"
S000005839,YOR312C,RPL20B,2,17.648177146911621,1,14.199672698974609,"Ribosomal 60S subunit protein L20B; homologous to mammalian ribosomal protein L18A, no bacterial homolog; RPL20B has a paralog, RPL20A, that arose from the whole genome duplication"
S000001801,YKR093W,PTR2,3,27.832600593566895,1,15.521600723266602,Integral membrane peptide transporter; mediates transport of di- and tri-peptides; conserved protein that contains 12 transmembrane domains; PTR2 expression is regulated by the N-end rule pathway via repression by Cup9p
S000002277,YDL119C,HEM25,2,17.648177146911621,1,13.29920768737793,"Mitochondrial glycine transporter; required for the transport of glycine into mitochondria for initiation of heme biosynthesis, with YMC1 acting as a secondary transporter; homolog of human SLC25A38, a mitochondrial glycine transporter associated with nonsyndromic autosomal recessive congenital sideroblastic anemia; human SLC25A38 can complement the heme deficiency associated with the null mutant; GFP-fusion protein is induced in response to the DNA-damaging agent MMS"
S000006103,YPL182C,,4,36.203244209289551,1,5.0,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene CTI6/YPL181W"
S000001572,YKL089W,MIF2,4,30.004173278808594,2,24.106562614440918,"Protein required for structural integrity of elongating spindles; localizes to the kinetochore; interacts with histones H2A, H2B, and H4; phosphorylated by Ipl1p; orthologous to human centromere constitutive-associated network (CCAN) subunit CENP-C and fission yeast cnp3"
S000002273,YDL115C,IWR1,2,18.55506706237793,2,25.013453483581543,"RNA polymerase II transport factor, conserved from yeast to humans; also has a role in transporting RNA polymerase III into the nucleus; interacts with most of the RNAP II subunits; nucleo-cytoplasmic shuttling protein; deletion causes hypersensitivity to K1 killer toxin; protein increases in abundance and relocalizes from nucleus to cytoplasm upon DNA replication stress"
S000003407,YGR175C,ERG1,1,8.3706436157226562,1,13.784634590148926,"Squalene epoxidase; catalyzes the epoxidation of squalene to 2,3-oxidosqualene; plays an essential role in the ergosterol-biosynthesis pathway and is the specific target of the antifungal drug terbinafine; human SQLE functionally complements the lethality of the erg1 null mutation"
S000006163,YPL242C,IQG1,1,9.2775335311889648,2,20.621136665344238,"Essential protein required for determination of budding pattern; promotes localization of axial markers Bud4p and Cdc12p and functionally interacts with Sec3p, localizes to the contractile ring during anaphase, member of the IQGAP family; relocalizes from bud neck to cytoplasm upon DNA replication stress"
S000003400,YGR168C,,3,20.726639747619629,1,14.258565902709961,Putative protein of unknown function; YGR168C is not an essential gene
S000006168,YPL247C,,3,27.832600593566895,1,11.714245796203613,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and nucleus; similar to the petunia WD repeat protein an11; overexpression causes a cell cycle delay or arrest
S000005387,YOL027C,MDM38,6,50.751885890960693,1,11.714245796203613,Mitochondrial protein; forms a complex with Mba1p to facilitate recruitment of mRNA-specific translational activators to ribosomes; roles in protein export and K+/H+ exchange; human ortholog Letm1 implicated in Wolf-Hirschhorn syndrome
S000000508,YCL002C,,1,9.2775335311889648,1,9.1292829513549805,Putative protein of unknown function; YCL002C is not an essential gene
S000003318,YGR086C,PIL1,9,79.870242118835449,1,11.614709854125977,Eisosome core component; eisosomes are large immobile cell cortex structures associated with endocytosis; detected in phosphorylated state in mitochondria; phosphorylated on Thr233 upon Pkc1p hyperactivation in a Slt2p MAPK-dependent fashion; null mutant shows activation of Pkc1p/Ypk1p stress resistance pathways; member of BAR domain family; protein increases in abundance and relocalizes from plasma membrane to cytoplasm upon DNA replication stress
S000003319,YGR087C,PDC6,1,8.3706436157226562,2,22.369597434997559,"Minor isoform of pyruvate decarboxylase; decarboxylates pyruvate to acetaldehyde, involved in amino acid catabolism; transcription is glucose- and ethanol-dependent, and is strongly induced during sulfur limitation"
S000003317,YGR085C,RPL11B,2,17.648177146911621,2,19.258565902709961,"Ribosomal 60S subunit protein L11B; expressed at half the level of Rpl11Ap; involved in ribosomal assembly; depletion causes degradation of 60S proteins and RNA; homologous to mammalian ribosomal protein L11 and bacterial L5; RPL11B has a paralog, RPL11A, that arose from the whole genome duplication"
S000006766,TV(AAC)O,,1,6.1779980659484863,1,15.843528747558594,"Valine tRNA (tRNA-Val), predicted by tRNAscan-SE analysis"
S000006568,TF(GAA)M,,1,9.2775335311889648,1,14.199672698974609,"Phenylalanine tRNA (tRNA-Phe), predicted by tRNAscan-SE analysis"
S000006569,TF(GAA)N,,1,9.2775335311889648,1,10.906890869140625,"Phenylalanine tRNA (tRNA-Phe), predicted by tRNAscan-SE analysis"
S000006562,TF(GAA)B,,1,9.2775335311889648,1,9.3923177719116211,"Phenylalanine tRNA (tRNA-Phe), predicted by tRNAscan-SE analysis"
S000006563,TF(GAA)D,,1,8.3706436157226562,1,12.199672698974609,"Phenylalanine tRNA (tRNA-Phe), predicted by tRNAscan-SE analysis"
S000003080,YGL112C,TAF6,2,18.55506706237793,1,17.106563568115234,"Subunit (60 kDa) of TFIID and SAGA complexes; involved in transcription initiation of RNA polymerase II and in chromatin modification, similar to histone H4; relocalizes to the cytosol in response to hypoxia"
S000003084,YGL116W,CDC20,1,6.1779980659484863,1,7.5849623680114746,"Activator of anaphase-promoting complex/cyclosome (APC/C); APC/C is required for metaphase/anaphase transition; directs ubiquitination of mitotic cyclins, Pds1p, and other anaphase inhibitors; cell-cycle regulated; potential Cdc28p substrate; relative distribution to the nucleus increases upon DNA replication stress"
S000003085,YGL117W,,1,6.1779980659484863,1,7.8073549270629883,Putative protein of unknown function
S000000210,YBR006W,UGA2,5,37.467926979064941,1,15.521600723266602,Succinate semialdehyde dehydrogenase; involved in the utilization of gamma-aminobutyrate (GABA) as a nitrogen source; part of the 4-aminobutyrate and glutamate degradation pathways; localized to the cytoplasm
S000000216,YBR012C,,1,8.3706436157226562,1,12.199672698974609,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; expression induced by iron-regulated transcriptional activator Aft2p"
S000002858,YDR450W,RPS18A,1,9.2775335311889648,1,12.714245796203613,"Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S18 and bacterial S13; RPS18A has a paralog, RPS18B, that arose from the whole genome duplication; protein increases in abundance and relocalizes from cytoplasm to nuclear foci upon DNA replication stress"
S000002859,YDR451C,YHP1,4,35.296354293823242,1,11.614709854125977,"Homeobox transcriptional repressor; binds Mcm1p and early cell cycle box (ECB) elements of cell cycle regulated genes, thereby restricting ECB-mediated transcription to the M/G1 interval; YHP1 has a paralog, YOX1, that arose from the whole genome duplication"
S000002857,YDR449C,UTP6,1,9.2775335311889648,1,12.714245796203613,Nucleolar protein; component of the small subunit (SSU) processome containing the U3 snoRNA that is involved in processing of pre-18S rRNA
S000002852,YDR444W,,1,9.2775335311889648,1,6.5849623680114746,Putative hydrolase acting on ester bonds
S000000698,YCR101C,,2,17.648177146911621,1,13.199672698974609,Putative protein of unknown function; localizes to the membrane fraction; YCR101C is not an essential gene
S000000694,YCR097W,HMRA1,1,6.1779980659484863,1,8.5849628448486328,Silenced copy of a1 at HMR; homeobox corepressor that interacts with Alpha2p to repress haploid-specific gene transcription in diploid cells
S000000690,YCR094W,CDC50,1,9.2775335311889648,1,9.1699247360229492,"Endosomal protein that interacts with phospholipid flippase Drs2p; interaction with Cdc50p is essential for Drs2p catalytic activity; mutations affect cell polarity and polarized growth; similar to Lem3p; CDC50 has a paralog, YNR048W, that arose from the whole genome duplication"
S000000326,YBR122C,MRPL36,1,9.2775335311889648,1,11.714245796203613,Mitochondrial ribosomal protein of the large subunit; overproduction suppresses mutations in the COX2 leader peptide-encoding region
S000000322,YBR118W,TEF2,1,9.2775335311889648,1,7.8073549270629883,"Translational elongation factor EF-1 alpha; in the GTP-bound active form, binds to and delivers aminoacylated tRNA to the A-site of ribosomes for elongation of nascent polypeptides; associates with vacuolar Rho1p GTPase; TEF2-RFP levels increase during replicative aging; may also have a role in tRNA re-export from the nucleus; TEF2 has a paralog, TEF1, that arose from the whole genome duplication"
S000000323,YBR119W,MUD1,4,34.389464378356934,1,13.521600723266602,U1 snRNP A protein; homolog of human U1-A; involved in nuclear mRNA splicing
S000000321,YBR117C,TKL2,2,18.55506706237793,1,8.8073549270629883,"Transketolase; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids; TKL2 has a paralog, TKL1, that arose from the whole genome duplication"
S000000328,YBR124W,,3,26.925710678100586,1,8.3923177719116211,Putative protein of unknown function
S000000329,YBR125C,PTC4,1,9.2775335311889648,1,12.199672698974609,Cytoplasmic type 2C protein phosphatase (PP2C); identified as a high-copy number suppressor of cnb1 mpk1 synthetic lethality; overexpression decreases high-osmolarity induced Hog1p phosphorylation and kinase activity
S000005257,YNL313C,EMW1,1,9.2775335311889648,1,14.784634590148926,Essential conserved protein with a role in cell wall integrity; contains six TPR (tetratricopeptide repeat) domains clustered in the C-terminal region; conditional mutant is suppressed by overexpression of GFA1; protein abundance increases in response to DNA replication stress
S000002353,YDL194W,SNF3,1,6.1779980659484863,1,11.614709854125977,"Plasma membrane low glucose sensor, regulates glucose transport; contains 12 predicted transmembrane segments and a long C-terminal tail required for induction of hexose transporters; also senses fructose and mannose; SNF3 has a paralog, RGT2, that arose from the whole genome duplication"
S000004261,YLR271W,CMG1,1,9.2775335311889648,2,20.784635066986084,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm and the nucleus and is induced in response to the DNA-damaging agent MMS
S000000036,YAL038W,CDC19,5,41.474352359771729,1,17.106563568115234,"Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate, the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog, PYK2, that arose from the whole genome duplication"
S000004265,YLR275W,SMD2,1,6.1779980659484863,2,24.650883674621582,"Core Sm protein Sm D2; part of heteroheptameric complex (with Smb1p, Smd1p, Smd3p, Sme1p, Smx3p, and Smx2p) that is part of the spliceosomal U1, U2, U4, and U5 snRNPs; homolog of human Sm D2"
S000002572,YDR165W,TRM82,1,9.2775335311889648,1,7.8073549270629883,Catalytic subunit of a tRNA methyltransferase complex; Trm8p and Trm82p comprise an enzyme that catalyzes a methyl-transfer from S-adenosyl-l-methionine to the N(7) atom of guanine at position 46 in tRNA; Trm8 lacks catalytic activity if not bound to Trm82p; relocalizes to the cytosol in response to hypoxia; mutation in human ortholog WDR4 causes microcephalic primordial dwarfism
S000004511,YML048W,GSF2,1,9.2775335311889648,1,12.714245796203613,"Endoplasmic reticulum (ER) localized integral membrane protein; may promote secretion of certain hexose transporters, including Gal2p; involved in glucose-dependent repression"
S000004042,YLR052W,IES3,2,17.648177146911621,1,10.12928295135498,Subunit of the INO80 chromatin remodeling complex
S000001033,YHL041W,,1,9.2775335311889648,1,8.8073549270629883,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000001032,YHL040C,ARN1,2,18.55506706237793,1,14.29920768737793,"ARN family transporter for siderophore-iron chelates; responsible for uptake of iron bound to ferrirubin, ferrirhodin, and related siderophores; protein increases in abundance and relocalizes to the vacuole upon DNA replication stress"
S000004047,YLR057W,MNL2,2,17.648177146911621,1,10.392317771911621,"Putative mannosidase involved in ER-associated protein degradation; localizes to the endoplasmic reticulum; sequence similarity with seven-hairpin glycosidase (GH47) family members, such as Mns1p and Mnl1p, that hydrolyze 1,2-linked alpha-D-mannose residues; non-essential gene"
S000004514,YML050W,AIM32,2,14.548641681671143,1,12.714245796203613,Protein of unknown function; null mutant is viable and displays elevated frequency of mitochondrial genome loss
S000004045,YLR055C,SPT8,2,12.355996131896973,1,10.714245796203613,Subunit of the SAGA transcriptional regulatory complex; not present in SAGA-like complex SLIK/SALSA; required for SAGA-mediated inhibition at some promoters
S000001740,YKR032W,,1,9.2775335311889648,2,22.065920829772949,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data"
S000001749,YKR041W,,2,17.648177146911621,1,12.199672698974609,Protein of unknown function; localizes to the mitotic spindle; overexpression of YKR041W affects endocytic protein trafficking
S000004862,YMR250W,GAD1,1,9.2775335311889648,1,12.392317771911621,Glutamate decarboxylase; converts glutamate into gamma-aminobutyric acid (GABA) during glutamate catabolism; involved in response to oxidative stress
S000004865,YMR252C,,1,9.2775335311889648,3,48.149764060974121,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to mitochondria; YMR252C is not an essential gene
S000000034,YAL036C,RBG1,1,9.2775335311889648,2,24.428491592407227,"Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p, Ygr250cp, Gir2p and Yap1p via two-hybrid"
S000003891,YJR130C,STR2,2,14.548641681671143,1,9.3923177719116211,"Cystathionine gamma-synthase, converts cysteine into cystathionine; STR2 has a paralog, YML082W, that arose from the whole genome duplication"
S000003893,YJR132W,NMD5,5,39.660572528839111,1,6.3219280242919922,Karyopherin; a carrier protein involved in nuclear import of proteins; importin beta homolog
